title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,thumbs,url
Aaron Benanav,2020,"[ ""RYBN"" ]",livre,éditions divergences,L'automatisation et le futur du travail,Aaron Benanav,"[ ""3.4. Travailler avec l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/benanav-l-automatisation-et-le-futur-du-travail.pdf.0.png.180.jpeg?v=1688043154391"",""size"":180},{""path"":""_thumbs/shaping-ai/benanav-l-automatisation-et-le-futur-du-travail.pdf.0.png.360.jpeg?v=1688043154433"",""size"":360},{""path"":""_thumbs/shaping-ai/benanav-l-automatisation-et-le-futur-du-travail.pdf.0.png.600.jpeg?v=1688043154416"",""size"":600},{""path"":""_thumbs/shaping-ai/benanav-l-automatisation-et-le-futur-du-travail.pdf.0.png.800.jpeg?v=1688043154569"",""size"":800},{""path"":""_thumbs/shaping-ai/benanav-l-automatisation-et-le-futur-du-travail.pdf.0.png.1600.jpeg?v=1688043154530"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_145216-hf1
ACM Computing Classification System,1964,"[ ""Cédric Buron"" ]",classification,Site de l'ACM,Computing Classification System de l'Association for Computing Machinery (ACM),ACM,"[ ""1.1. Définir l'IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/classification-association-for-computing-machinery.pdf.0.png.180.jpeg?v=1654169739160"",""size"":180},{""path"":""_thumbs/shaping-ai/classification-association-for-computing-machinery.pdf.0.png.360.jpeg?v=1654169739337"",""size"":360},{""path"":""_thumbs/shaping-ai/classification-association-for-computing-machinery.pdf.0.png.600.jpeg?v=1654169739354"",""size"":600},{""path"":""_thumbs/shaping-ai/classification-association-for-computing-machinery.pdf.0.png.800.jpeg?v=1654169739342"",""size"":800},{""path"":""_thumbs/shaping-ai/classification-association-for-computing-machinery.pdf.0.png.1600.jpeg?v=1654169739264"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_133528-04e
5 projets pour faire avancer la recherche en IA pour l'administration,2022,"[ ""PA Chevalier"" ]",article de presse,Acteurs Publics,Article sur les 5 projet sélectionnés par le Lab AI dans le cadre du 3ème appel.,Acteurs Publics,"[ ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/copie-de-biblioeuropresse20220329140229.pdf.0.png.180.jpeg?v=1655047134908"",""size"":180},{""path"":""_thumbs/shaping-ai/copie-de-biblioeuropresse20220329140229.pdf.0.png.360.jpeg?v=1655047134956"",""size"":360},{""path"":""_thumbs/shaping-ai/copie-de-biblioeuropresse20220329140229.pdf.0.png.600.jpeg?v=1655047134927"",""size"":600},{""path"":""_thumbs/shaping-ai/copie-de-biblioeuropresse20220329140229.pdf.0.png.800.jpeg?v=1655047135032"",""size"":800},{""path"":""_thumbs/shaping-ai/copie-de-biblioeuropresse20220329140229.pdf.0.png.1600.jpeg?v=1655047135012"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_171833-85s
De premiers résultats prometteurs pour l'intelligence artificielle dans les administrations,2019,"[ ""Hubert Guillaud"" ]",article de presse,Acteurs Publics,"Bilan, paru dans Acteurs Publics, des résultats de l'appel à manifestations d'intérêt de 2018 pour identifier les meilleurs projets d'administrations désireuses d'explorer les opportunités offertes par l'intelligence artificielle.",Acteurs Publics,"[ ""2.5. Instrumenter l'action publique"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217051247.pdf.0.png.180.jpeg?v=1654536722528"",""size"":180},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217051247.pdf.0.png.360.jpeg?v=1654536722659"",""size"":360},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217051247.pdf.0.png.600.jpeg?v=1654536722668"",""size"":600},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217051247.pdf.0.png.800.jpeg?v=1654536722792"",""size"":800},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217051247.pdf.0.png.1600.jpeg?v=1654536722506"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_193152-qj3
Comment fonctionne le dispositif France Expérimentation dédié aux administrations,2021,"[ ""Émile Marzolf"" ]",article de presse,Acteurs Publics,"Article sur le dispositif France Expérimentation, qui permet à des acteurs économiques d'obtenir des dérogations à titre expérimental pour mener à bien leurs projets.",Acteurs Publics,"[ ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217060124.pdf.0.png.180.jpeg?v=1655046864129"",""size"":180},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217060124.pdf.0.png.360.jpeg?v=1655046864200"",""size"":360},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217060124.pdf.0.png.600.jpeg?v=1655046864152"",""size"":600},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217060124.pdf.0.png.800.jpeg?v=1655046864272"",""size"":800},{""path"":""_thumbs/shaping-ai/biblioeuropresse20211217060124.pdf.0.png.1600.jpeg?v=1655046864247"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_171412-fj3
Art and Research Projects by Adam Harvey,2021,"[ ""Marie Lechner"" ]",portfolio,Adam Harvey personal website,,Adam Harvey,"[ ""2.3. Ouvrir les boîtes noires"", ""3.2. Expérimenter l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/adam-harvey-critical-art-research.pdf.0.png.180.jpeg?v=1688308100272"",""size"":180},{""path"":""_thumbs/shaping-ai/adam-harvey-critical-art-research.pdf.0.png.360.jpeg?v=1688308100310"",""size"":360},{""path"":""_thumbs/shaping-ai/adam-harvey-critical-art-research.pdf.0.png.600.jpeg?v=1688308100293"",""size"":600},{""path"":""_thumbs/shaping-ai/adam-harvey-critical-art-research.pdf.0.png.800.jpeg?v=1688308100314"",""size"":800},{""path"":""_thumbs/shaping-ai/adam-harvey-critical-art-research.pdf.0.png.1600.jpeg?v=1688308100517"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_162751-d57
Exposing AI,2017,"[ ""Marie Lechner"" ]",dataset,Exposing AI website,"Exposing.ai is created by Adam Harvey and Jules LaPlace and is based on the earlier MegaPixels project (2017 - 2020). This new project, Exposing.ai, launched in January 2021 and is based on years of research about image training datasets used for face recognition and related biometric analysis technologies. After tracking down and analyzing hundreds of these datasets a pattern emerged: millions of images were being downloaded from Flickr.com where permissive content licenses are encouraged and biometric data is abundant. Telling the complex story of how yesterday's photographs became today's training data is part of the goal of this ongoing project.","Adam Harvey, Jules Laplace","[ ""1.2. Mettre en données le monde"", ""2.3. Ouvrir les boîtes noires"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/exposing-ai-face-and-biometric-image-datasets.pdf.0.png.180.jpeg?v=1688308364113"",""size"":180},{""path"":""_thumbs/shaping-ai/exposing-ai-face-and-biometric-image-datasets.pdf.0.png.360.jpeg?v=1688308364149"",""size"":360},{""path"":""_thumbs/shaping-ai/exposing-ai-face-and-biometric-image-datasets.pdf.0.png.600.jpeg?v=1688308364140"",""size"":600},{""path"":""_thumbs/shaping-ai/exposing-ai-face-and-biometric-image-datasets.pdf.0.png.800.jpeg?v=1688308364157"",""size"":800},{""path"":""_thumbs/shaping-ai/exposing-ai-face-and-biometric-image-datasets.pdf.0.png.1600.jpeg?v=1688308364370"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_163217-bds
The ADHD-200 Sample,2022,"[ ""Ninon Burgos"" ]",dataset,Site de l'ADHD-200 Sample,"Présentation de l'Attention Deficit Hyperactivity Disorder (ADHD) - 200 Sample, une initiative dédiée à l'accélération de la compréhension des fondements neuronaux de l'ADHD",ADHD-200 Sample,"[ ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/dataset-adhd.pdf.0.png.180.jpeg?v=1654769904162"",""size"":180},{""path"":""_thumbs/shaping-ai/dataset-adhd.pdf.0.png.360.jpeg?v=1654769904227"",""size"":360},{""path"":""_thumbs/shaping-ai/dataset-adhd.pdf.0.png.600.jpeg?v=1654769904206"",""size"":600},{""path"":""_thumbs/shaping-ai/dataset-adhd.pdf.0.png.800.jpeg?v=1654769904220"",""size"":800},{""path"":""_thumbs/shaping-ai/dataset-adhd.pdf.0.png.1600.jpeg?v=1654769904387"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_121802-1ar
Alzheimer's Disease Neuroimaging Initiative (ADNI),2022,"[ ""Ninon Burgos"" ]",dataset,Site de l'ADNI,"Présentation de l'Alzheimer's Disease Neuroimaging Initiative (ADNI), une étude longitudinale conçue pour développer des biomarqueurs (cliniques, d'imagerie, génétiques, biochimiques) pour la détection précoce et le suivi de la maladie d'Alzheimer",ADNI,"[ ""1.2. Mettre en données le monde"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/dataset-adni.pdf.0.png.180.jpeg?v=1654767310155"",""size"":180},{""path"":""_thumbs/shaping-ai/dataset-adni.pdf.0.png.360.jpeg?v=1654767310188"",""size"":360},{""path"":""_thumbs/shaping-ai/dataset-adni.pdf.0.png.600.jpeg?v=1654767310165"",""size"":600},{""path"":""_thumbs/shaping-ai/dataset-adni.pdf.0.png.800.jpeg?v=1654767310322"",""size"":800},{""path"":""_thumbs/shaping-ai/dataset-adni.pdf.0.png.1600.jpeg?v=1654767310271"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_113446-9k5
Conférence AI for climate (AI4C),2021,"[ ""Sébastien Loustau"" ]",conférence,Site web de la conférence,Conférence interdisciplinaire sur l'usage du deep learning pour l'écologie et le climat,AI4C,"[ ""1.4. Écologiser l’IA"" ]","[{""page"":0,""thumbsData"":[{""path"":""_thumbs/shaping-ai/ai-for-climate.pdf.0.png.180.jpeg?v=1655071799422"",""size"":180},{""path"":""_thumbs/shaping-ai/ai-for-climate.pdf.0.png.360.jpeg?v=1655071799467"",""size"":360},{""path"":""_thumbs/shaping-ai/ai-for-climate.pdf.0.png.600.jpeg?v=1655071799444"",""size"":600},{""path"":""_thumbs/shaping-ai/ai-for-climate.pdf.0.png.800.jpeg?v=1655071799575"",""size"":800},{""path"":""_thumbs/shaping-ai/ai-for-climate.pdf.0.png.1600.jpeg?v=1655071799535"",""size"":1600}]}]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220613_000945-3iz
